unit_name,race,cnt,pct
8TH,Black,52219,21.11
22ND,White,34863,34.2
11TH,Black,59671,84.67
18TH,White,88418,75.54
1ST,Native American/Alaskan Native,95,0.15
14TH,White,49809,42.3
25TH,Native American/Alaskan Native,214,0.11
18TH,Hispanic,5806,4.96
9TH,Black,19044,11.53
17TH,Hispanic,62232,43.19
2ND,White,17747,18.6
11TH,White,1664,2.36
17TH,Black,4782,3.32
14TH,Black,8027,6.82
14TH,Native American/Alaskan Native,189,0.16
24TH,White,60488,42.89
10TH,Black,39440,33.4
15TH,Black,55468,93.29
8TH,Hispanic,139854,56.54
4TH,Hispanic,35381,28.63
9TH,White,24307,14.71
16TH,Black,2022,1.01
25TH,Black,33033,16.48
5TH,Hispanic,2524,3.39
7TH,White,262,0.37
24TH,Native American/Alaskan Native,351,0.25
20TH,Black,9909,10.86
20TH,Native American/Alaskan Native,223,0.24
6TH,Hispanic,914,1.01
10TH,White,4300,3.64
3RD,Black,71010,94.38
9TH,Hispanic,94610,57.27
11TH,Native American/Alaskan Native,73,0.1
16TH,Hispanic,45438,22.78
20TH,Hispanic,16519,18.1
25TH,Hispanic,133005,66.37
4TH,Black,76399,61.82
18TH,Native American/Alaskan Native,108,0.09
7TH,Native American/Alaskan Native,136,0.19
22ND,Hispanic,3318,3.25
12TH,Black,23039,18.02
1ST,Hispanic,3766,6
4TH,White,9925,8.03
18TH,Black,10681,9.13
20TH,White,49420,54.14
7TH,Black,68787,96.79
1ST,White,32952,52.49
22ND,Black,62094,60.91
17TH,White,55743,38.68
17TH,Native American/Alaskan Native,321,0.22
5TH,White,843,1.13
19TH,White,150551,74.98
15TH,Hispanic,2265,3.81
24TH,Hispanic,29746,21.09
2ND,Hispanic,3242,3.4
25TH,White,29371,14.66
16TH,White,138045,69.2
3RD,White,1472,1.96
8TH,Native American/Alaskan Native,247,0.1
6TH,Black,88525,97.45
24TH,Black,25322,17.95
6TH,White,312,0.34
3RD,Native American/Alaskan Native,169,0.22
10TH,Hispanic,73441,62.19
5TH,Black,70064,94.18
22ND,Native American/Alaskan Native,112,0.11
11TH,Hispanic,8118,11.52
2ND,Native American/Alaskan Native,138,0.14
14TH,Hispanic,54039,45.9
8TH,White,51491,20.82
19TH,Hispanic,20025,9.97
2ND,Black,65993,69.15
12TH,Hispanic,42329,33.1
12TH,White,51775,40.49
15TH,White,959,1.61
1ST,Black,13452,21.43
3RD,Hispanic,1123,1.49
19TH,Black,13305,6.63
7TH,Hispanic,1167,1.64
